datetime,aggregate,tv,fridge,washing_machine
2024-07-22 05:42:15+00:00,293.0,103.0,131.0,59.0
2024-07-22 05:42:16+00:00,284.0,100.0,129.0,55.0
2024-07-22 05:42:17+00:00,295.0,113.0,130.0,52.0
2024-07-22 05:42:18+00:00,313.0,97.0,129.0,87.0
2024-07-22 05:42:19+00:00,297.0,98.0,130.0,69.0
2024-07-22 05:42:20+00:00,296.0,113.0,129.0,54.0
2024-07-22 05:42:21+00:00,290.0,102.0,130.0,58.0
2024-07-22 05:42:22+00:00,291.0,104.0,130.0,57.0
2024-07-22 05:42:23+00:00,281.0,102.0,128.0,51.0
2024-07-22 05:42:24+00:00,299.0,109.0,131.0,59.0
2024-07-22 05:42:25+00:00,293.0,107.0,129.0,57.0
2024-07-22 05:42:26+00:00,294.0,110.0,129.0,55.0
2024-07-22 05:42:27+00:00,293.0,105.0,130.0,58.0
2024-07-22 05:42:28+00:00,299.0,105.0,129.0,65.0
2024-07-22 05:42:29+00:00,295.0,106.0,130.0,59.0
2024-07-22 05:42:30+00:00,282.0,104.0,130.0,48.0
2024-07-22 05:42:31+00:00,299.0,110.0,130.0,59.0
2024-07-22 05:42:32+00:00,287.0,103.0,129.0,55.0
2024-07-22 05:42:33+00:00,280.0,102.0,130.0,48.0
2024-07-22 05:42:34+00:00,293.0,102.0,132.0,59.0
2024-07-22 05:42:35+00:00,311.0,114.0,132.0,65.0
2024-07-22 05:42:36+00:00,284.0,107.0,129.0,48.0
2024-07-22 05:42:37+00:00,285.0,100.0,132.0,53.0
2024-07-22 05:42:38+00:00,280.0,100.0,131.0,49.0
2024-07-22 05:42:39+00:00,292.0,97.0,131.0,64.0
2024-07-22 05:42:40+00:00,284.0,103.0,130.0,51.0
2024-07-22 05:42:41+00:00,289.0,99.0,131.0,59.0
2024-07-22 05:42:42+00:00,293.0,107.0,131.0,55.0
2024-07-22 05:42:43+00:00,291.0,103.0,131.0,57.0
2024-07-22 05:42:44+00:00,313.0,98.0,130.0,85.0
2024-07-22 05:42:45+00:00,283.0,98.0,130.0,55.0
2024-07-22 05:42:46+00:00,288.0,102.0,131.0,55.0
2024-07-22 05:42:47+00:00,292.0,107.0,131.0,54.0
2024-07-22 05:42:48+00:00,289.0,101.0,130.0,58.0
2024-07-22 05:42:49+00:00,311.0,101.0,130.0,80.0
2024-07-22 05:42:50+00:00,284.0,97.0,130.0,57.0
2024-07-22 05:42:51+00:00,282.0,102.0,129.0,51.0
2024-07-22 05:42:52+00:00,290.0,106.0,127.0,57.0
2024-07-22 05:42:53+00:00,276.0,98.0,129.0,49.0
2024-07-22 05:42:54+00:00,302.0,113.0,130.0,59.0
2024-07-22 05:42:55+00:00,297.0,106.0,130.0,61.0
2024-07-22 05:42:56+00:00,294.0,109.0,131.0,54.0
2024-07-22 05:42:57+00:00,289.0,103.0,131.0,55.0
2024-07-22 05:42:58+00:00,295.0,101.0,131.0,63.0
2024-07-22 05:42:59+00:00,302.0,101.0,130.0,71.0
2024-07-22 05:43:00+00:00,295.0,102.0,130.0,63.0
2024-07-22 05:43:01+00:00,295.0,104.0,129.0,62.0
2024-07-22 05:43:02+00:00,301.0,103.0,130.0,68.0
2024-07-22 05:43:03+00:00,281.0,104.0,130.0,47.0
2024-07-22 05:43:04+00:00,285.0,101.0,129.0,55.0
2024-07-22 05:43:05+00:00,285.0,105.0,129.0,51.0
2024-07-22 05:43:06+00:00,299.0,101.0,130.0,68.0
2024-07-22 05:43:07+00:00,286.0,98.0,130.0,58.0
2024-07-22 05:43:08+00:00,305.0,121.0,128.0,56.0
2024-07-22 05:43:09+00:00,297.0,104.0,129.0,64.0
2024-07-22 05:43:10+00:00,281.0,104.0,128.0,49.0
2024-07-22 05:43:11+00:00,285.0,102.0,129.0,54.0
2024-07-22 05:43:12+00:00,279.0,101.0,128.0,50.0
2024-07-22 05:43:13+00:00,286.0,101.0,127.0,58.0
2024-07-22 05:43:14+00:00,288.0,103.0,128.0,57.0
2024-07-22 05:43:15+00:00,285.0,100.0,128.0,57.0
2024-07-22 05:43:16+00:00,278.0,98.0,128.0,52.0
2024-07-22 05:43:17+00:00,272.0,95.0,128.0,49.0
2024-07-22 05:43:18+00:00,279.0,100.0,127.0,52.0
2024-07-22 05:43:19+00:00,288.0,101.0,128.0,59.0
2024-07-22 05:43:20+00:00,288.0,112.0,128.0,48.0
2024-07-22 05:43:21+00:00,277.0,100.0,128.0,49.0
2024-07-22 05:43:22+00:00,278.0,99.0,128.0,51.0
2024-07-22 05:43:23+00:00,310.0,108.0,129.0,73.0
2024-07-22 05:43:24+00:00,278.0,99.0,130.0,49.0
2024-07-22 05:43:25+00:00,292.0,105.0,127.0,60.0
2024-07-22 05:43:26+00:00,302.0,121.0,129.0,52.0
2024-07-22 05:43:27+00:00,289.0,108.0,128.0,53.0
2024-07-22 05:43:28+00:00,298.0,102.0,128.0,68.0
2024-07-22 05:43:29+00:00,297.0,107.0,128.0,62.0
2024-07-22 05:43:30+00:00,294.0,110.0,129.0,55.0
2024-07-22 05:43:31+00:00,291.0,112.0,128.0,51.0
2024-07-22 05:43:32+00:00,290.0,105.0,130.0,55.0
2024-07-22 05:43:33+00:00,316.0,106.0,129.0,81.0
2024-07-22 05:43:34+00:00,283.0,103.0,129.0,51.0
2024-07-22 05:43:35+00:00,292.0,101.0,128.0,63.0
2024-07-22 05:43:36+00:00,287.0,100.0,129.0,58.0
2024-07-22 05:43:37+00:00,305.0,101.0,129.0,75.0
2024-07-22 05:43:38+00:00,287.0,106.0,130.0,51.0
2024-07-22 05:43:39+00:00,300.0,102.0,128.0,70.0
2024-07-22 05:43:40+00:00,273.0,98.0,128.0,47.0
2024-07-22 05:43:41+00:00,278.0,102.0,129.0,47.0
2024-07-22 05:43:42+00:00,306.0,105.0,128.0,73.0
2024-07-22 05:43:43+00:00,277.0,102.0,128.0,47.0
2024-07-22 05:43:44+00:00,283.0,99.0,129.0,55.0
2024-07-22 05:43:45+00:00,281.0,100.0,129.0,52.0
2024-07-22 05:43:46+00:00,296.0,108.0,129.0,59.0
2024-07-22 05:43:47+00:00,288.0,101.0,129.0,58.0
2024-07-22 05:43:48+00:00,293.0,104.0,128.0,61.0
2024-07-22 05:43:49+00:00,287.0,106.0,128.0,53.0
2024-07-22 05:43:50+00:00,281.0,103.0,129.0,49.0
2024-07-22 05:43:51+00:00,272.0,97.0,127.0,48.0
2024-07-22 05:43:52+00:00,278.0,103.0,127.0,48.0
2024-07-22 05:43:53+00:00,308.0,99.0,129.0,80.0
2024-07-22 05:43:54+00:00,275.0,99.0,129.0,47.0
2024-07-22 05:43:55+00:00,284.0,105.0,129.0,50.0
2024-07-22 05:43:56+00:00,281.0,102.0,128.0,51.0
2024-07-22 05:43:57+00:00,286.0,106.0,129.0,51.0
2024-07-22 05:43:58+00:00,301.0,103.0,129.0,69.0
2024-07-22 05:43:59+00:00,293.0,106.0,128.0,59.0
2024-07-22 05:44:00+00:00,279.0,103.0,129.0,47.0
2024-07-22 05:44:01+00:00,288.0,101.0,129.0,58.0
2024-07-22 05:44:02+00:00,314.0,103.0,129.0,82.0
2024-07-22 05:44:03+00:00,281.0,96.0,129.0,56.0
2024-07-22 05:44:04+00:00,281.0,101.0,129.0,51.0
2024-07-22 05:44:05+00:00,289.0,104.0,129.0,56.0
2024-07-22 05:44:06+00:00,287.0,105.0,129.0,53.0
2024-07-22 05:44:07+00:00,315.0,96.0,128.0,91.0
2024-07-22 05:44:08+00:00,292.0,104.0,129.0,59.0
2024-07-22 05:44:09+00:00,309.0,107.0,129.0,73.0
2024-07-22 05:44:10+00:00,285.0,107.0,130.0,48.0
2024-07-22 05:44:11+00:00,316.0,102.0,129.0,85.0
2024-07-22 05:44:12+00:00,283.0,102.0,128.0,53.0
2024-07-22 05:44:13+00:00,281.0,100.0,130.0,51.0
2024-07-22 05:44:14+00:00,282.0,98.0,130.0,54.0
2024-07-22 05:44:15+00:00,294.0,113.0,130.0,51.0
2024-07-22 05:44:16+00:00,292.0,109.0,130.0,53.0
2024-07-22 05:44:17+00:00,294.0,101.0,130.0,63.0
2024-07-22 05:44:18+00:00,280.0,101.0,130.0,49.0
2024-07-22 05:44:19+00:00,308.0,102.0,129.0,77.0
2024-07-22 05:44:20+00:00,285.0,105.0,128.0,52.0
2024-07-22 05:44:21+00:00,295.0,111.0,130.0,54.0
2024-07-22 05:44:22+00:00,280.0,100.0,129.0,51.0
2024-07-22 05:44:23+00:00,289.0,103.0,129.0,57.0
2024-07-22 05:44:24+00:00,286.0,102.0,130.0,54.0
2024-07-22 05:44:25+00:00,285.0,107.0,130.0,48.0
2024-07-22 05:44:26+00:00,282.0,104.0,131.0,47.0
2024-07-22 05:44:27+00:00,332.0,104.0,130.0,98.0
2024-07-22 05:44:28+00:00,291.0,105.0,129.0,57.0
2024-07-22 05:44:29+00:00,291.0,105.0,130.0,56.0
2024-07-22 05:44:30+00:00,291.0,111.0,129.0,51.0
2024-07-22 05:44:31+00:00,292.0,104.0,129.0,59.0
2024-07-22 05:44:32+00:00,285.0,104.0,129.0,52.0
2024-07-22 05:44:33+00:00,280.0,100.0,129.0,51.0
2024-07-22 05:44:34+00:00,305.0,107.0,129.0,69.0
2024-07-22 05:44:35+00:00,276.0,100.0,129.0,47.0
2024-07-22 05:44:36+00:00,274.0,96.0,129.0,49.0
2024-07-22 05:44:37+00:00,292.0,110.0,131.0,51.0
2024-07-22 05:44:38+00:00,280.0,104.0,129.0,47.0
2024-07-22 05:44:39+00:00,278.0,104.0,127.0,47.0
2024-07-22 05:44:40+00:00,284.0,105.0,129.0,50.0
2024-07-22 05:44:41+00:00,324.0,108.0,129.0,87.0
2024-07-22 05:44:42+00:00,276.0,100.0,129.0,47.0
2024-07-22 05:44:43+00:00,289.0,106.0,128.0,55.0
2024-07-22 05:44:44+00:00,286.0,104.0,129.0,53.0
2024-07-22 05:44:45+00:00,277.0,101.0,128.0,48.0
2024-07-22 05:44:46+00:00,299.0,102.0,128.0,69.0
2024-07-22 05:44:47+00:00,286.0,106.0,129.0,51.0
2024-07-22 05:44:48+00:00,288.0,105.0,129.0,54.0
2024-07-22 05:44:49+00:00,280.0,103.0,129.0,48.0
2024-07-22 05:44:50+00:00,282.0,106.0,127.0,49.0
2024-07-22 05:44:51+00:00,275.0,100.0,129.0,46.0
2024-07-22 05:44:52+00:00,285.0,109.0,129.0,47.0
2024-07-22 05:44:53+00:00,291.0,104.0,131.0,56.0
2024-07-22 05:44:54+00:00,298.0,103.0,129.0,66.0
2024-07-22 05:44:55+00:00,294.0,105.0,128.0,61.0
2024-07-22 05:44:56+00:00,283.0,100.0,130.0,53.0
2024-07-22 05:44:57+00:00,299.0,107.0,130.0,62.0
2024-07-22 05:44:58+00:00,279.0,101.0,130.0,48.0
2024-07-22 05:44:59+00:00,286.0,105.0,129.0,52.0
2024-07-22 05:45:00+00:00,302.0,109.0,129.0,64.0
2024-07-22 05:45:01+00:00,286.0,105.0,130.0,51.0
2024-07-22 05:45:02+00:00,304.0,105.0,130.0,69.0
2024-07-22 05:45:03+00:00,286.0,103.0,130.0,53.0
